"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"100 block dorothy st","100 block dorothy st",0,1,14,14,1.28571428571429,1913.57142857143,63457.1428571429,0,0,0,0,0,0,0,0
"100 block dorset rd","100 block dorset rd",0.0434782608695652,0.956521739130435,23,0,1,1921.08695652174,169521.739130435,0,0,0,0,0,0,0,0
"100 block dorwin av","100 block dorwin av",0.0357142857142857,0.964285714285714,28,0,1.10714285714286,1925.78571428571,66721.4285714286,0,0,0,0,0,0,0,0
"100 block dougall av","100 block dougall av",0,1,3,3,1.33333333333333,1916.66666666667,36366.6666666667,0,0,0,0,0,0,0,0
"100 block douglas st","100 block douglas st",0,1,9,9,1.44444444444444,1905.77777777778,41822.2222222222,0,0,0,0,0,0,0,0
"100 block driscoll av","100 block driscoll av",0,1,3,3,1.33333333333333,1920,60800,0,0,0,0,0,0,0,0
"100 block duane st","100 block duane st",0,1,6,0,1,1918.66666666667,56400,0,0,0,6,0,0,0,6
"100 block dundee dr","100 block dundee dr",0,1,15,0,1,1946.93333333333,83368.3333333333,0,0,0,0,0,0,0,0
"100 block durston av","100 block durston av",0,1,34,0,1.5,1914.38235294118,102944.117647059,0,0,34,68,0,0,0,102
"100 block east av","100 block east av",0,1,9,0,1,1948.11111111111,65044.4444444444,0,0,9,9,0,0,0,18
"100 block eastman av","100 block eastman av",0,1,7,7,1.42857142857143,1923.57142857143,46628.5714285714,0,0,0,0,0,0,7,7
"100 block eastview av","100 block eastview av",0,1,3,3,1,1929.33333333333,44000,0,0,0,0,0,0,0,0
"100 block edgehill rd","100 block edgehill rd",0,1,28,0,1,1935.92857142857,107775,0,0,0,0,0,0,0,0
"100 block edgemont dr","100 block edgemont dr",0.0476190476190476,0.952380952380952,21,0,1,1952.52380952381,104904.761904762,0,0,0,0,0,0,0,0
"100 block edgewood av","100 block edgewood av",0,1,7,7,1,1930.14285714286,57557.1428571429,0,0,0,0,0,0,0,0
"100 block edgewood dr","100 block edgewood dr",0,1,3,0,1,1950,77566.6666666667,0,0,0,0,0,0,0,0
"100 block edna rd","100 block edna rd",0,1,16,0,1,1958.25,79787.5,0,0,48,0,0,0,0,48
"100 block edwards av n","100 block edwards av n",0,1,22,0,1.18181818181818,1922.63636363636,63686.3636363636,0,0,0,44,0,0,0,44
"100 block edwards av s","100 block edwards av s",0.0285714285714286,0.971428571428571,35,0,1.51428571428571,1923.34285714286,71637.1428571429,0,0,35,35,0,0,0,70
"100 block eldorado st","100 block eldorado st",0,1,17,0,1.52941176470588,1930.41176470588,72805.8823529412,0,0,0,0,0,0,0,0
"100 block elizabeth st","100 block elizabeth st",0,1,3,3,1.66666666666667,1906.66666666667,33333.3333333333,0,0,0,0,0,0,0,0
"100 block elk st","100 block elk st",0.142857142857143,0.857142857142857,14,14,1.42857142857143,1915.28571428571,37350,0,0,0,0,0,0,14,14
"100 block ellen st","100 block ellen st",0,1,9,0,1,1932.22222222222,63711.1111111111,0,0,0,0,0,0,0,0
"100 block elliott st","100 block elliott st",0.2,0.8,5,5,1.6,1916.6,28400,0,0,0,5,0,0,0,5
"100 block elmhurst av","100 block elmhurst av",0.142857142857143,0.857142857142857,21,21,1.33333333333333,1914.2380952381,37840.9523809524,21,0,0,63,0,0,0,84
"100 block elmwood av","100 block elmwood av",0.172413793103448,0.827586206896552,29,29,1.3448275862069,1922.20689655172,42768.9655172414,0,29,0,0,0,0,0,29
"100 block eloise terr","100 block eloise terr",0.0769230769230769,0.923076923076923,13,12,1,1924.15384615385,46953.8461538462,0,0,0,0,0,0,0,0
"100 block elsner st","100 block elsner st",0,1,4,4,1.25,1917.5,56225,0,0,4,0,0,0,0,4
"100 block emerson av","100 block emerson av",0,1,13,0,1.53846153846154,1917.07692307692,65769.2307692308,0,0,0,26,0,0,0,26
"100 block empire av","100 block empire av",0.166666666666667,0.833333333333333,6,6,1,1923,50283.3333333333,0,0,0,0,0,0,0,0
"100 block enfield pl","100 block enfield pl",0,1,10,0,1,1945.5,101630,0,0,0,0,0,0,0,0
